ID,Symposia,Weekday,Date,Time Block,Type,Title of Panel/Grouping,Title of Presentation or Screening,Presentation or Paper URL,Presenter/Moderator A,Presenter/Moderator B,Presenter/Moderator C,Presenter/Moderator D,Presenter/Moderator E,Presenter/Moderator F,Work A,Work B,Work C,Work D,Notes
0001,Orphans of the Storm: Saving Orphan Films in the Digital Age,Thursday,"September 23, 1999",1:00pm - 3:15pm,Panel Presentation,Technological Frontiers of Film Preservation:  A Colloquium,Early Cinema on the Library of Congress Web Sites,http://www.sc.edu/filmsymposium/archive/orphans1999/1.2KarenLund.htm,Karen Lund,,,,,,,,,,
0002,Orphans of the Storm: Saving Orphan Films in the Digital Age,Thursday,"September 23, 1999",1:00pm - 3:15pm,Panel Presentation,Technological Frontiers of Film Preservation:  A Colloquium,Sound Preservation:  Restoration or Remastering?,http://www.sc.edu/filmsymposium/archive/orphans1999/1.3RobertHeiber.fulltext.htm,Robert Heiber ,,,,,,,,,,
0003,Orphans of the Storm: Saving Orphan Films in the Digital Age,Thursday,"September 23, 1999",1:00pm - 3:15pm,Panel Presentation,Technological Frontiers of Film Preservation:  A Colloquium,Environment Trends for Motion Picture Preservation,http://www.sc.edu/filmsymposium/archive/orphans1999/1.1%20Tom%20Benjamin.htm,Tom Benjamin ,,,,,,,,,,
0004,Orphans of the Storm: Saving Orphan Films in the Digital Age,Thursday,"September 23, 1999",1:00pm - 3:15pm,Panel  ,Technological Frontiers of Film Preservation:  A Colloquium,,,Ken Weissman,,,,,,,,,,
0005,Orphans of the Storm: Saving Orphan Films in the Digital Age,Thursday,"September 23, 1999",3:30pm - 5:30pm,Panel Presentation,What Is an ‘Orphan Film’? ,Preserving Orphan Films:  Public Policy in Practice,,Suzanne Lee,,,,,,,,,,"Did not occur, Suzanne did not attend."
0006,Orphans of the Storm: Saving Orphan Films in the Digital Age,Thursday,"September 23, 1999",3:30pm - 5:30pm,Panel Presentation,What Is an ‘Orphan Film’? ,"What is an Orphan Film?  Definition, Rationale and Controversy",http://www.sc.edu/filmsymposium/archive/orphans1999/2.1%20Paolo%20Cherchi-Usai.htm,Paolo Cherchi-Usai,,,,,,,,,,
0007,Orphans of the Storm: Saving Orphan Films in the Digital Age,Thursday,"September 23, 1999",3:30pm - 5:30pm,Panel Presentation,What Is an ‘Orphan Film’? ,,,,,,,,,,,,,
0008,Orphans of the Storm: Saving Orphan Films in the Digital Age,Thursday,"September 23, 1999",7:00pm,Screening,Raiders of the Lost Archive,More Revelations from the Prelinger Archives,,Rick Prelinger,,,,,,,,,,
0009,Orphans of the Storm: Saving Orphan Films in the Digital Age,Thursday,"September 23, 1999",7:00pm,Screening,Raiders of the Lost Archive,Lost Treasures of American Music. . . on Film,,Joe Lauro,,,,,,,,,,
0010,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",9:00am - 10:30am,Screening,Newsreel Preservation,The USC Newsfilm Library's 1998 National Film Preservation Foundation grant recipient:  Movietone outtakes of a 1930 reunion of Civil War veterans ,,Benjamin Singleton,Suzanne Lee,,,,,,,,,
0011,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",9:00am - 10:30am,Panel,Newsreel Preservation,Welcome,,Dr. John Palms,Sarah Meyerson,,,,,,,,,
0012,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",9:00am - 10:30am,Screening,Newsreel Preservation,History and Preservation of Newsfilm,,Raymond Fielding,,,,,,,,,,
0013,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",9:00am - 10:30am,Screening,Newsreel Preservation,The Unhappy State of American Newsreel Preservation,,William T. Murphy,,,,,,,,,,
0014,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",9:00am - 10:30am,Screening,Newsreel Preservation,The News Archives of TV Networks,,Sarah Meyerson,,,,,,,,,,
0015,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",10:45am - 12:15pm,Panel,Films without Owners ,,,,,,,,,,,,,
0016,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",10:45am - 12:15pm,Panel Presentation,Films without Owners ,Five Reasons to Care about Films Orphaned in Educational Collections,,Francis Poole,,,,,,,,,,
0017,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",10:45am - 12:15pm,Panel Presentation,Films without Owners ,"Ed Emshwiller’s Project Apollo (1968, USIA)",,Robert Haller,,,,,,,,,,
0018,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",10:45am - 12:15pm,Panel Presentation,Films without Owners ,Orphaned in Old Age?  Hollywood Studio Silents at Universal and Elsewhere,,Jan-Christopher Horak,,,,,,,,,,
0019,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",1:30pm - 3:00pm,Panel,Experimental Cinema  ,,,,,,,,,,,,,
0020,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",1:30pm - 3:00pm,Panel Presentation,Experimental Cinema  ,Caught in the Act:  Evidence from the Warhol Films,,Callie Angell,,,,,,,,,,
0021,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",1:30pm - 3:00pm,Panel Presentation,Experimental Cinema  ,Rude Awakening:  Restoring the Legacy of Experimental Filmmaker Warren Sonbert,,Jon Gartenberg,,,,,,,,,,
0022,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",1:30pm - 3:00pm,Panel Presentation,Experimental Cinema  ,The Found Footage in Bruce Conner’s A Movie,,Donald Crafton,,,,,,,,,,
0023,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",3:15pm - 4:45pm,Panel,Rediscovering Oscar Micheaux ,,,Steven Higgins,,,,,,,,,,
0024,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",3:15pm - 4:45pm,Panel Presentation,Rediscovering Oscar Micheaux ,The Oscar Micheaux Production Company,,Charlene Regester,,,,,,,,,,
0025,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",3:15pm - 4:45pm,Panel Presentation,Rediscovering Oscar Micheaux ,Preserving Symbol of the Unconquered,,Charles Musser,,,,,,,,,,
0026,Orphans of the Storm: Saving Orphan Films in the Digital Age,Friday,"September 24, 1999",3:15pm - 4:45pm,Panel Presentation,Rediscovering Oscar Micheaux ,Silent Cinema's Stepchildren: Reconstructing Early Black Spectatorship,,Jacqueline Stewart,,,,,,,,,,
