pbcoreIndentifier AND instantiationIdentifier,pbcoreIdentifier@source AND instantiationIdentifier@source,pbcoreIndentifier 2 AND instantiationIdentifier 2,pbcoreIdentifier@source 2 AND instantiationIdentifier@source 2,pbcoreTitle,pbcoreTitle@titleType,pbcoreTitle 2,pbcoreTitle@titleType2,pbcoreSubject,pbcoreSubject@subjectType,pbcoreGenre,pbcoreGenresource,pbcoreGenre,pbcoreCreator,pbcoreCreatorRole,pbcoreCreator 3,pbcoreCreatorRole 2,pbcoreCreator 2,pbcoreCreatorRole 3,instantiationMediaType,formatFrameRate,unitsOfMeasure,instantiationDimensions,unitsOfMeasure dimensions,instantiationPhysical,instantiationIdentifier 3,instantiationIdentifier@source 3,dateIssued,instantiationDuration,Duration Approximate?,pbcoreDescription,pbcoreDescriptionType,pbcoreDescription,pbcoreDescriptionType,Notes/Annotations
ID,ID Source,,,Title,Title Type,Alternate Title,Alternate Title Source,Subject,Subject Type,Genre,,Genre 2,"Creator (Director, Author)",Creator Role,Creator 2,Creator 2 Role,Creator 3,Creator 3 Role,Media Type,,,,,Physical Format,,,Date ,Duration,,Description,,,,
0001,OFS Portal,,,Project Apollo,,,,,,Experimental,Library of Congress Moving Image Genre-Form Guide,,Ed Emshwiller,Director,United States Information Agency,Producer,,,Moving Image,,,,,,,,1968,,,,,,,
0002,OFS Portal,,,The Symbol of the Unconquered,,,,,,,,,Oscar Micheaux,Director,,,,,Moving Image,,,,,,,,1920,,,,,,,Restored by the Museum of Modern Art  with Turner/TCM/Warner Bros. 
0003,OFS Portal,,,Movies of Local People,,,,,,,,,H. Lee Waters,Director,,,,,Moving Image,,,,,,,,,,,,,,,
0004,OFS Portal,,,The Film of Her,,,,,,,,,Bill Morrison,Director,,,,,Moving Image,,,,,,,,1996,,,,,,,
0005,OFS Portal,,,Iota,,,,,,,,,Carolyn Fabor,Director,,,,,Moving Image,,,,,,,,1998,,,,,,,
0006,OFS Portal,,,City Edition,,,,,,,,,Alan Berliner,Director,,,,,Moving Image,,,,,,,,1980,,,,,,,
0007,OFS Portal,,,The Danube Express,,,,,,,,,Péter Forgács,Director,,,,,Moving Image,,,,,,,,1998,,,,,,,
0008,OFS Portal,,,Family Album,,,,,,Home Movie,,,,,,,,,Moving Image,,,,,,,,,,,,,,,Presented by Alan Berliner
0009,OFS Portal,,,Nobody's Business ,,,,,,Home Movie,,,,,,,,,Moving Image,,,,,,,,,,,,,,,Presented by Alan Berliner
0010,OFS Portal,,,The Maelstrom,,,,,,Home Movie,,,,,,,,,Moving Image,,,,,,,,,,,,,,,"Presented by Péter Forgács, with the note 'A Video Opera'"
0011,OFS Portal,,,Paper Print actuality films,,,,,,Actuality,,,,,,,,,Moving Image,,,,,35mm,,,1900-1910,,,,,,,
0012,OFS Portal,,,Fox Movietone footage of Howard Walls,,,,,,Newsreel,,,Fox Movietone,Producer,,,,,Moving Image,,,,,,,,1944,,,,,,,
0013,OFS Portal,,,Alfred Leslie's Birth of a Nation 1965,,,,,,,,,Alfred Leslie,Director,,,,,Moving Image,,,,,,,,1965/1997,,,,,,,
